city,cities
Montecarlo,Montecarlo
Merlo,Merlo
Mercedes,Mercedes
Mercedes,MDX
Mar del Plata,MDQ
Lujan,Lujan
Los Polvorines,Los Palverines
La Plata,Eva Peron
La Paz,La Paz
Jardin America,Chardin Amerika
Hurlingham,28 de Septiembre
Gualeguaychu,GHU
Gualeguay,Gualeguajus
Goya,Goja
Gobernador Virasora,Gobernador Ingeniero Valentin Virasoro
General Pacheco,General Pacheco
General Jose de San Martin,Cheneral Chose de San Martinas
Garupa,Garupa
Formosa,Ciudad de Formosa
Fontana,Fontana
Federal,Federal
Esquina,Esquina
El Soberbio,El Soberbio
Don Torcuato,Don Torcuato
Dolores,Dolores
Curuzu Cuatia,Curuzu Cuatia
Corrientes,CNQ
Concordia,COC
Concepcion del Uruguay,Concepcion del Uruguay
Colegiales,Colegiales
Chajari,Chajari
Campana,Campana
Buenos Aires,BUE
Boedo,Boedas
Berazategui,Berazategui
Belgrano,Barrio Belgrano
Barranqueras,Barranqueras
Barracas,Barakas
Balcarce,Balcarce
Azul,Asulis
Avellaneda,Avel'janeda
Aristobulo del Valle,Aristobulo del Valle
Zapala,APZ
Yerba Buena,Yerba Buena
Villa Regina,Villa Regina
Villa Paula de Sarmiento,Paula A. de Sarmiento
Villa Nueva,Villa Nueva
Villa Maria,Vilja Marija
Villa Dolores,Dolores
Villa Constitucion,Villa Constitucion
Villa Carlos Paz,Karlos-Paz
Villa Angela,Vilja Anchela
Villa Allende,Villa Allende
Viedma,V'edma
Victoria,Viktorija
Vera,Jobson
Venado Tuerto,Neuken
Veinticinco de Mayo,25 de Mayo
Ushuaia,Ousouaia
Unquillo,Unquillo
Tres Isletas,Tres Isletas
Tres Arroyos,OYO
Trelew,REL
Termas de Rio Hondo,Banos
Tartagal,TTG
Tafi Viejo,Tafi
Sunchales,NCJ
Santo Tome,Santo Tome
Santiago del Estero,Ciudad de Santiago del Estero
Santa Rosa,Ciudad de Santa Rosa
Santa Lucia,Santa Lucia
Santa Fe,Ciudad de Santa Fe
San Salvador de Jujuy,JUJ
San Ramon de la Nueva Oran,ORA
San Rafael,AFA
San Pedro de Jujuy,San Pedro de Jujuy
San Nicolas de los Arroyos,San Nicolas
San Miguel de Tucuman,San Migel De Tukuman
San Martin de los Andes,Andu San Martinas
San Martin,General San Martin
San Luis,Ciudad de San Luis
San Justo,San Justo
San Juan,Ciudad de San Juan
San Jose de Jachal,Jachal
San Jorge,San Jorge
San Francisco,San Francisco
San Fernando del Valle de Catamarca,CTC
San Antonio Oeste,OES
Salta,Ciudad de Salta
Rufino,Rufino
Rosario,ROS
Rio Tercero,Rio Tercero
Rio Segundo,Rio Segundo
Rio Grande,RGA
Rio Gallegos,Gallegos
Rio Cuarto,Ciudad de Rio Cuarto
Rio Ceballos,Rio Ceballos
Rawson,Rausonopolis
Rafaela,RAF
Quitilipi,Quitilipi
Punta Alta,Punta Alta
Puerto Madryn,Madryn
Presidencia Roque Saenz Pena,PRQ
Pocito,Pocito
Plottier,Plottier
Pergamino,Pergamino
Perez,Perez
Parana,Cittae de Parana
Palpala,Palpala
Olavarria,OVR
Nueve de Julio,9 de Julio
Neuquen,Ciuda de Neuquen
Morteros,Morteros
Monteros,Monteros
Mendoza,Capital megye
Marcos Juarez,Marcos Juarez
Machagai,Machagai
Lincoln,Lincoln
Libertador General San Martin,General San Martin
Las Brenas,Las Brenas
La Rioja,A Rioxa
La Falda,La Falda
La Calera,La Calera
Laboulaye,Laboulaye
Junin,Chuninas
Joaquin V. Gonzalez,J.V. Gonzalez
Jesus Maria,Jesus Maria
Granadero Baigorria,Granadero Baigorria
Gobernador Galvez,Galvez
General Villegas,General Villegas
General Roca,Cheneral Roka
General Pinedo,General Pinedo
General Pico,Cheneral Pikas
General Mosconi,Ciro Echesortu
Galvez,Galvez
Firmat,Firmat
Famailla,Famailla
Esquel,EQS
Esperanza,Esperanza
Embarcacion,Embarcacion
Embalse,Embalse
El Bolson,EHL
Diamante,Diamante
Dean Funes,Dean Funes
Cutral-Co,CUT
Cruz del Eje,Cruz del Eje
Crespo,Crespo
Cosquin,Cosquin
Coronel Suarez,CSZ
Coronda,Cordona
Cordoba,COR
Comodoro Rivadavia,CRD
Cipolletti,CPZ
Cinco Saltos,Cinco Saltos
Chivilcoy,Chivilcoy
Chimbas,Chimbas
Chilecito,Chilecito
Charata,CNT
Chacabuco,Chacabuco
Centenario,Centenario
Caucete,Caucete
Catriel,CCT
Castelli,Castelli
Casilda,Casilda
Carcarana,Carcarana
Capitan Bermudez,Capitan Bermudez
Canada de Gomez,Canada de Gomez
Caleta Olivia,CVI
Bell Ville,Bell Ville
Bella Vista,Bella Vista
Bahia Blanca,BHI
Arroyo Seco,Aguirre
Arroyito,Arroyito
Anatuya,Anatuya
Alta Gracia,Al'ta-Gracija
Allen,Allen
Alderetes,Alderetes
Albardon,Albardon
Aguilares,Aguilares
Villa Mercedes,VME
San Miguel,San Migel
San Carlos de Bariloche,BRC
Ingeniero Pablo Nogues,Ingeniero Pablo Nogues
Pago Pago,PPG
Wiener Neustadt,Becko Novo Mjesto
Vienna,Bec
Wetzelsdorf,Wetzelsdorf
Wels,Ovilava
Weinzierl bei Krems,Weinzierl
Villach,Beljak
Telfs,Tel'fs
Strassgang,Strassgang
Stockerau,Shhokerau
Steyr,Shhajr
Simmering,Simmering
Sankt Poelten,Cetium
Sankt Peter,Sankt Peter
Sankt Peter,10.Bezirk
Sankt Martin,Sankt Martin
Salzburg,Estado de Salzburgo
Pradl,
Perchtoldsdorf,Paedaschduaf
Ottakring,Ottakring
Moedling,Medling
Meidling,Meidling
Lustenau,Lustenau
Linz,LNZ
Klosterneuburg,Klostehrnojburg
Klagenfurt am Woerthersee,Celovec
Innsbruck,INN
Innere Stadt,Inner City
Hoetting,
Hohenems,Gogenems
Hietzing,
Hernals,Hernals
Graz,GRZ
Floridsdorf,Floridsdorf
Feldkirch,Fel'dkirkh
Eggenberg,Eggenberg
Dornbirn,Dornbirn
Bregenz,Bregenc
Baden,Baden
Amstetten,Amshheten
Favoriten,
Donaustadt,
Jakomini,
Lend,
Geidorf,
Sankt Leonhard,
Andritz,
Gries,
Scarborough,Scarborough
Rockingham,Rockingham
Perth,PER
Mount Isa,ISA
Morphett Vale,Morphett Vale
Mandurah,Mandujura
Kwinana,Kwinana
Gosnells,Gosnells
Geraldton,Dzeraldton
Gawler,Gawler
Darwin,DRW
Busselton,BQB
Bunbury,BUY
Alice Springs,ASP
Albany,ALH
Adelaide,ADL
Wodonga,Uodonga
Wheelers Hill,
Westmead,
Werribee,Werribee
Warrnambool,Gouornampoul
Warragul,Uorragul
Wantirna South,
Wangaratta,Uangaratta
Wahroonga,
Upper Coomera,Upper Coomera
Truganina,Truganina
Traralgon,TGN
Townsville,TSV
Toowoomba,TWB
Thornbury,
Thomastown,
Templestowe,Templestowe
Tarneit,
Taree,TRO
Tamworth,TMW
Sydney,SYD
Surry Hills,
Surfers Paradise,SFP
Sunbury,Sanberi
Strathfield,
Springvale,Springvale
South Yarra,South Yarra
Southport,SHQ
Shepparton,Mooroopna
Seven Hills,Seven Hills
Seaford,Seaford
Saint Kilda,Saint Kilda
Saint Ives,Saint Ives
Saint Albans,Saint Albans
Ryde,Ryde
Rowville,
Rockhampton,ROK
Rockdale,Rockdale
Ringwood,Ringwood
Richmond,Richmond
Reservoir,Reservoir
Quakers Hill,
Preston,Preston
Port Melbourne,Sandridge
Port Macquarie,PQQ
Point Cook,
Pascoe Vale,
Palm Beach,
Pakenham,Pakenham
Orange,OAG
North Melbourne,Hotham
Northcote,Northcote
Noble Park,Noble Park
Newcastle,Avstralyn N'jukasl
Nerang,Nerang
Narre Warren,
Narangba,Narangba
Mulgrave,Mulgrave
Mount Waverley,Mount Waverley
Mount Martha,Mount Martha
Mount Gambier,Gambier Town
Mount Eliza,
Mount Druitt,Mount Druitt
Mosman,Mosman
Mornington,Mornington
Morayfield,Morayfield
South Morang,Morang
Mooroolbark,
Mitcham,
Miranda,Miranda
Mill Park,
Mildura,MQL
Merrylands,Merrylands
Mernda,Mernda
Melbourne,MEL
Mascot,Mascot
Maryborough,MBH
Marrickville,Marrickville
Maroubra,Maroubra
Manly,Manli
Maitland,MTL
Mackay,MKY
Liverpool,Liverpool
Lilydale,Lilydale
Lidcombe,Lidcomb
Launceston,LST
Lara,Lara
Langwarrin,Langwarrin
Lalor,
Lakemba,Lakemba
Kogarah,Kogarah
Keysborough,
Kew,Kju
Kensington,Kensington
Hornsby,
Hobart,Chompart
Hawthorn South,Hawthorn South
Hawthorn,
Hampton Park,
Griffith,GFF
Greenvale,Greenvale
Greensborough,
Granville,Granville
Goulburn,GUL
Gold Coast,City of Gold Coast
Glen Waverley,Glen Waverley
Glenroy,
Glen Iris,Glen Iris
Glenferrie,
Gladstone,GLT
Geelong,Dzhelong
Frankston East,Frankston East
Frankston,Frankston
Footscray,Footscray
Fairfield,Fairfield
Essendon,Essendon
Epping,
Epping,ai ping
Engadine,Ehngadin
Eltham,Eltham
Eight Mile Plains,Eight Mile Plains
Eastwood,Eastwood
Earlwood,Earlwood
Dubbo,DBO
Doreen,
Doncaster East,
Doncaster,Doncaster
Deer Park,
Deception Bay,Deception Bay
Dandenong,Dandenong
Croydon,Croydon
Cronulla,Cronulla
Cranbourne,Cranbourne
Craigieburn,Craigieburn
Corio,
Coorparoo,
Coogee,ku ji zhen
Coffs Harbour,CFS
Coburg,Coburg
Clayton,
Wollongong,City of Greater Wollongong
Chatswood,Chatswood
Cessnock,CES
Castle Hill,Castle Hill
Carrum Downs,Carrum Downs
Carnegie,
Carlton,Carlton
Carlingford,
Capalaba,Capalaba
Canberra,CBR
Camberwell,Camberwell
Cairns,CNS
Caboolture,Caboolture
Burwood,bao huo
Burnie,BWT
Bundaberg,BDB
Buderim,Buderim
Brunswick,Brunswick
Broken Hill,BHQ
Brisbane,BNE
Brighton,Brighton
Boronia,Boronia
Blacktown,Blacktown
Bexley,Bexley
Berwick,Berwick
Bentleigh East,
Bentleigh,
Bendigo,BXG
Baulkham Hills,
Bathurst,BHS
Banora Point,
Bankstown,BWU
Ballarat,Balarat
Bairnsdale,BSJ
Auburn,Auburn
Ashfield,
Armidale,ARM
Albany Creek,Albany Creek
Maroochydore,MCY
Cheltenham,Cheltenham
Randwick,Randwick
Dee Why,Dee why
Umina Beach,Umina Beach
Palmerston,Palmerston
Hervey Bay,HVB
Sydney Central Business District,Inner West
Kingsford,
Springfield Lakes,
Bracken Ridge,
Kallangur,
North Lakes,
The Gap,
Caroline Springs,
Hoppers Crossing,
Logan City,Citta di Logan
Carindale,
Parramatta,City of Parramatta
Ferntree Gully,prntry gly
Adelaide Hills,
Canning Vale,
Glenmore Park,
Southbank,Sautbenk
Helensvale,
Melton West,
Elwood,
Balwyn North,Balwyn North
Malvern East,East Malvern
Brighton East,
Redbank Plains,
Labrador,
St Albans,Saint Albans
Endeavour Hills,
Kellyville,
Taylors Lakes,
Cherrybrook,
Roxburgh Park,
Prestons,
Wyndham Vale,
Ballajura,
Willetton,
Glenwood,
Cabramatta,
Campsie,
Casula,
Cranebrook,
Greenacre,
Greystanes,
Ellenbrook,
Alexandra Hills,
Calamvale,
Yagoona,
Highton,
Pacific Pines,
Robina,robina
Paralowie,
Baldivis,
Dianella,
Morley,
Thornlie,
Punchbowl,
Parafield Gardens,
Hillside,
St Clair,
Kirwan,
Bundoora,
Forest Lake,
Sunnybank Hills,
Rochedale South,
Cranbourne East,
Cranbourne North,
Narre Warren South,
Dandenong North,
Frankston South,
Sunshine West,
Altona Meadows,
Hurstville,
West Pennant Hills,
Melbourne City Centre,
Adelaide city centre,
Wollongong city centre,
Tanki Leendert,Tanki Leendert
San Nicolas,San Nicolas
Oranjestad,Aran'estad
Mariehamn,MHQ
Xankandi,Chankaendi
Ahmadbayli,Ahmadbayli
Susa,Shoushi
Salyan,Sal'jan
Saatli,Saatli
Neftcala,Neftcala
Nakhchivan,NAJ
Lankaran,LLK
Imishli,Emishti
Fizuli,Fizuli
Jalilabad,Astrahanka
Pushkino,Bilasuvar
Beylagan,Beylagan
Astara,Astara
Sirvan,Ali Bairamly
Agdam,Ag'dam
Zaqatala,Sakataly
Zabrat,Sabrat
Yevlakh,Avlakh
Goygol,Elenendorf
Xacmaz,Chatschmas
Ujar,Ucar
Terter,Mir Bashir
Sumqayit,Sumgait
Qaracuxur,Garachukhur
Shamkhor,Anino
Shamakhi,Samaxi
Sheki,Nucha
Sabuncu,Sabunchi
Sabirabad,Petropavlovka
Qusar,Kusary
Quba,Guba
Haciqabul,Adshikabul
Qazax,Agkeynak
Haci Zeynalabdin,Haci Zeynalabdin
Mingelchaur,Mengechaur
Mastaga,Mashtaga
Mardakan,Mardakan
Lokbatan,Loekbatan
Kyurdarmir,Kiordamir
Khirdalan,Khurdalan
Yeni Suraxani,Imeni Kirova
Goycay,Gekchai
Hovsan,Gousan
Ganja,Elisavetpol
Divichibazar,Davachi
Buzovna,Busovny
Biny Selo,Bina
Barda,Bard
Bilajari,Baku-Baladshary
Baku,BAK
Amirdzhan,Amirabdzhan
Aghsu,Aghsu
Agdas,Ag'dash
Agdzhabedy,Agcabadi
Bakixanov,Bakikhanov
Zenica,Zenica
Visoko,Visokas
Velika Kladusa,Velika Kladusa
Tuzla,Donja Tuzla
Trebinje,Trebigne
Travnik,Traunik
Sarajevo,Bosna-Sarai
Prijedor,Grad Prijedor
Mostar,Mandetrium
Gradacac,Gradacac
Gracanica,Gracanica
Gorazde,Gorajde
Doboj,Doboj
Cazin,Cazin
Bugojno,Bugoinas
Brcko,Bercka
Bosanska Krupa,Bosanska Krupa
Bijeljina,Beline
Bihac,Bichacas
Banja Luka,BNX
Konjic,Konjic
Bridgetown,BGI
Thakurgaon,TKR
Teknaf,Teknaaf
Tungi,Tangi
Sylhet,Jalalabad
Dohar,Dohai
Jamalpur,Jamaipur
Shibganj,Shibgandzh
Shibganj,Shibganj
Satkhira,Satkhira
Sirajganj,SAJ
Netrakona,Netrakona
Narsingdi,Narsingdi
Sandwip,Sandvip
Shahzadpur,Sahzadpur
Ramganj,Ramganj
Rajshahi,RJH
Pirojpur,Perijpur
Panchagarh,Pachagar
Patiya,Patia
Parbatipur,Parbatipur
Narayanganj,Narajanganj
Nalchiti,Nalchhiti
Nagarpur,Nagarpur
Nageswari,Nagasewari
Mymensingh,Majmensingkh
Muktagacha,Muktagacha
Mirzapur,Mirzapur
Maulavi Bazar,Maulavi Bazar
Morrelgonj,Fakirertakia
Mehendiganj,Mehdigunj
Mathba,Matbari
Lalmonirhat,LLJ
Laksham,Laksam
Comilla,CLA
Rangpur,Kotwali
Kushtia,Khustia
Kaliganj,Aliganj
Jhingergacha,Jhikargacha
Joypur Hat,Jaipur Hat
Ishurdi,IRD
Habiganj,Habiganj
Gaurnadi,Gaurnadi
Gafargaon,Gafargaon
Feni,Feni
Raipur,Deyanatpur
Sarankhola,Dakshin Rajapur
Dhaka,DAC
Chilmari,Chillmari
Chhagalnaiya,Chhagainaya
Lalmohan,Char Lalmohan
Khagrachhari,Changrachhari
Chhatak,Cehatak
Bhatpara Abhaynagar,Abhaynagar
Bheramara,Bhairamara
Bhairab Bazar,Bhairab Bazar
Bandarban,Bandarban
Kalia,Bara Kalia
Baniachang,Baniachang
Bajitpur,Bajitpur
Bagerhat,Bagerhat
Badarganj,Badarganj
Narail,Aladatpur
Tungipara,Tongipara
Sonargaon,Sonargaon
Sarishabari,Sarisabar
Sakhipur,
Raojan,Raajan
Phultala,Phultala
Palang,
Par Naogaon,Par Naogaon
Nabinagar,
Lakshmipur,Lakshmipur
Kesabpur,Kesabpur
Hajiganj,
Faridpur,Faridpur
Dinajpur,Dinajpur
Uttar Char Fasson,Dakshin Char Fasson
Chattogram,CGP
Char Bhadrasan,
Bera,Bera
Burhanuddin,Barahanuddin
Satkania,Satkania
Cox's Bazar,CXB
Khulna,Khulna
Bhola,Bhola
Barishal,BZL
Jessore,JSR
Pabna,Pabna
Tangail,Tangail
Bogra,Bogora
Pirgaaj,Pirgaaj
Nawabganj,Nawabganj
Madaripur,Madaripur
Sherpur,Sherpur
Kishorganj,Kisharganj
Manikchari,Manikchari
Bhandaria,Bhandaria
Bibir Hat,Fatikchhari
Saidpur,SPD
Puthia,Puthia
Natore,Nator
Azimpur,Azimpur  Dhaka  Bangladesh
Paltan,Paltan  Dhaka  Bangladesh
Joymontop,
Zwijndrecht,Zuindracum
Zwevegem,Sweveghem
Zottegem,Sottegem
Zonhoven,Zoneve
Zolder,Heusden-Zolder (Zolder)
Zemst,Sempst
Zele,Zele
Zedelgem,Zedel'gem
Zaventem,Saventhem
Wondelgem,Wendelghem
Woluwe-Saint-Lambert,Brussel (Sint-Lambrechts-Woluwe)
Wilrijk,Antwerpen (Wilrijk)
Willebroek,Vilebruk
Wevelgem,Vevel'geme
Wetteren,Veteren
Westerlo,Vesterlas
Wervik,Vervik
Wavre,Uavur
Watermael-Boitsfort,Brussel (Watermaal-Bosvoorde)
Waterloo,Vaterlo
Waregem,Varegem
Walcourt,Val'kur
Vise,Vise
Vilvoorde,Vilvoorde
Verviers,Verv'e
Uccle,Brussel (Ukkel)
Turnhout,T'ornkhaut
Tubize,Tiubizas
Tournai,Doornik
Torhout,Thourout
Tongeren,Atuatuca Tungrorum
Tienen,Thenae
Tielt,Thielt
Tessenderlo,Loei
Tervuren,Terv'oren
Temse,Tamise
Stekene,Stekene
Stabroek,Stabroeck
Soumagne,Soumagne
Soignies,Soani
Sint-Truiden,Oppidum Sancti Trudonis
Sint-Pieters-Leeuw,Ieus
Sint-Niklaas,Saint-Nicolas
Sint-Kruis,Sainte-Croix
Sint-Katelijne-Waver,Sint Katelejne - Vaver
Sint-Gillis-Waas,Saint-Gilles-Waes
Sint-Genesius-Rode,Rhode-Saint-Genese
Sint-Andries,Saint-Andre
Sint-Amandsberg,Mont-Saint Amand
Seraing,Seraing
Schoten,Schooten
Schilde,Schilde
Schaerbeek,Brussel (Schaarbeek)
Saint-Nicolas,Saint-Nicolas
Saint-Josse-ten-Noode,Brussel (Sint-Joost-ten-Node)
Saint-Gilles,Brussel (Sint-Gillis)
Saint-Ghislain,Sankt-Gilene
Rotselaar,Rotselaar
Ronse,Renaix
Roeselare,Roeselare
Rixensart,Ricsinsat
Riemst,Riempst
Ranst,Ranst
Quaregnon,Cargnon
Puurs,Pjurs
Putte,Putte
Poperinge,Poperienge
Pont-a-Celles,Pont a Sel
Peruwelz,Perjuvel'z
Peer,Peer
Overijse,Overejse
Oupeye,Oupeye
Oudenaarde,Aldenarda
Oostkamp,Oostcamp
Ostend,OST
Nivelles,Nijvel
Ninove,Ninove
Nijlen,Nijlen
Neerpelt,Neerpelt
Namur,Name
Mouscron,MWW
Mortsel,Mortensella
Morlanwelz-Mariemont,Morlanwelz
Montignies-sur-Sambre,Charleroi (Montignies-sur-Sambre)
Mons,Berge
Molenbeek-Saint-Jean,Brussel (Sint-Jans-Molenbeek)
Mol,Mol
Middelkerke,Middelkerke
Merksem,Antwerpen (Merksem)
Merelbeke,Meirelbeke
Menen,Meenen
Meise,Meise
Mechelen-aan-de-Maas,Maasmechelen (Mechelen-aan-de-Maas)
Mechelen,Malinas
Mariakerke,Mariakerke
Marcinelle,Charleroi (Marcinelle)
Marchienne-au-Pont,Charleroi (Marchienne-au-Pont)
Marche-en-Famenne,Marca in Falmana
Manage,Manadje
Maldegem,Mal'degem
Maasmechelen,Maasmechelen
Maaseik,Maaseik
Louvain-la-Neuve,Li Nou Loven
Lommel,Lomel
Lokeren,Lokeren
Lochristi,Lochristi
Lille,Lille
Lier,L'er
Liege,L'ezh
Leuven,L'oven
Lessines,Lesin
Lede,Lede
Lebbeke,Lebbeke
Lanaken,Lanaeken
La Louviere,El Lovire
Kortrijk,Contrai
Kortenberg,Cortenberg
Kontich,Condacum
Koksijde,Coxyde
Koersel,Beringen (Koersel)
Koekelberg,Brussel (Koekelberg)
Knokke-Heist,Knoke-Khajst
Kessel-Lo,Kessel-Loo
Kasterlee,Casterle
Kapellen,Cappellen
Kalmthout,Calmpthout
Jumet,Charleroi (Jumet)
Jette,Brussel (Jette)
Jambes,Djambe
Izegem,Iseghem
Ixelles,Brussel (Elsene)
Ieper,Ieper
Huy,Hoei
Houthalen,Houthaelen
Hoogstraten,Hoogstraeten
Hoboken,Antwerp (Hoboken)
Heverlee,Heverle
Heusy,Verviers (Heusy)
Heusden,Heusden-Zolder (Heusden)
Herzele,Herzele
Herve,Ehrv
Herstal,Ehrstal'
Herentals,Herentals
Herent,Herent
Helchteren,Houthalen-Helchteren (Helchteren)
Heist-op-den-Berg,Heist-op-den-Berg
Hasselt,Asselt
Harelbeke,Hailebeke
Hamme,Ama
Halle,Galle
Haaltert,Haaltert
Grivegnee,Liege (Grivegnee)
Grimbergen,Grimbergen
Gilly,Charleroi (Gilly)
Geraardsbergen,Geeraardsbergen
Gentbrugge,Gentbrugge
Gent,GNE
Genk,Genck
Gembloux,Djiblou
Geel,Geel
Ganshoren,Brussel (Ganshoren)
Frameries,Frameri
Forest,Brussel (Vorst)
Fleurus,Fl'orjus
Fleron,Fleron
Flemalle-Haute,Flemalle (Flemalle-Haute)
Evergem,Ehvergem
Evere,Brussel (Evere)
Eupen,Ehjpen
Etterbeek,Brussel (Etterbeek)
Ekeren,Antwerpen (Ekeren)
Eeklo,Eecloo
Edegem,Edegem
Duffel,Duffel
Dour,Dou
Dilbeek,Dilbeek
Diksmuide,Diksmude
Diest,Diest
Diepenbeek,
Deurne,Deurne
Destelbergen,Destelbergen
Dendermonde,Dendermonde
Denderleeuw,Denderleeuw
Deinze,Dajnze
Courcelles,Courcele
Colfontaine,Colfontinne
Chaudfontaine,Chaudfontaine
Chatelineau,Chatelineau
Chatelet,Castellarium
Chasse Royale,
Charleroi,Carleroe
Brussels,An Bhruiseil
Brugge,Brige
Brasschaat,Braschatas
Braine-le-Comte,'s-Gravenbrakel
Braine-l'Alleud,Braine-l'Alleud
Boussu,Boussu
Bornem,Bornem
Borgerhout,Antwerpen (Borgerhout)
Boom,Boom
Blauwput,
Blankenberge,Blank'nberge
Binche,Bensh
Bilzen,Bilsen
Beveren,Beveren
Bevere,Bevere
Beringen,Beeringen
Berchem-Sainte-Agathe,Berchem-Sainte-Agathe
Berchem,Antwerpen (Berchem)
Beersel,Beersel
Beerse,Beerse
Balen,Baelen
Auderghem,Anderghen
Ath,Aat
Assebroek,Assebroek
Asse,Ase
Arlon,Aarle
Antwerpen,ANR
Ans,Ans
Anderlecht,Anderlacum
Andenne,Anden
Aarschot,Aarschot
Aalter,Aalter
Aalst,Aals
Zorgo,Zorgho
Yako,Jako
Tougan,TUQ
Titao,Titao
Tenkodogo,TEG
Reo,Reo
Po,PUP
Ouahigouya,OUG
Ouagadougou,Huagadugu
Nouna,Nouna
Manga,Manga
Leo,Leo
Koupela,Koupela
Koudougou,Kondougou
Kongoussi,Kongoussi
Kombissiri,Kombisiri
Kokologo,Kokolgho
Kaya,Kaja
Hounde,Hounde
Gourcy,Gourcy
Garango,Garango
Fada N'gourma,FNG
Dori,DOR
Djibo,Djibo
Diapaga,DIP
Dedougou,DGU
Bousse,Bousse
Boulsa,Boulsa
