CountryName,CC,Country_numeric
"Palestine, State of",PSE,275
Panama,PAN,591
Papua New Guinea,PNG,598
Paraguay,PRY,600
Peru,PER,604
Philippines (the),PHL,608
Pitcairn,PCN,612
Poland,POL,616
Portugal,PRT,620
Puerto Rico,PRI,630
Qatar,QAT,634
Republic of North Macedonia,MKD,807
Romania,ROU,642
Russian Federation (the),RUS,643
Rwanda,RWA,646
Réunion,REU,638
Saint Barthélemy,BLM,652
"Saint Helena, Ascension and Tristan da Cunha",SHN,654
Saint Kitts and Nevis,KNA,659
Saint Lucia,LCA,662
Saint Martin (French part),MAF,663
Saint Pierre and Miquelon,SPM,666
Saint Vincent and the Grenadines,VCT,670
Samoa,WSM,882
San Marino,SMR,674
Sao Tome and Principe,STP,678
Saudi Arabia,SAU,682
Senegal,SEN,686
Serbia,SRB,688
Seychelles,SYC,690
Sierra Leone,SLE,694
Singapore,SGP,702
Sint Maarten (Dutch part),SXM,534
Slovakia,SVK,703
Slovenia,SVN,705
Solomon Islands,SLB,90
Somalia,SOM,706
South Africa,ZAF,710
South Georgia and the South Sandwich Islands,SGS,239
South Sudan,SSD,728
Spain,ESP,724
Sri Lanka,LKA,144
Sudan (the),SDN,729
Suriname,SUR,740
Svalbard and Jan Mayen,SJM,744
Sweden,SWE,752
Switzerland,CHE,756
Syrian Arab Republic,SYR,760
Taiwan (Province of China),TWN,158
Tajikistan,TJK,762
"Tanzania, United Republic of",TZA,834
Thailand,THA,764
Timor-Leste,TLS,626
Togo,TGO,768
Tokelau,TKL,772
Tonga,TON,776
Trinidad and Tobago,TTO,780
Tunisia,TUN,788
Turkey,TUR,792
Turkmenistan,TKM,795
Turks and Caicos Islands (the),TCA,796
Tuvalu,TUV,798
Uganda,UGA,800
Ukraine,UKR,804
United Arab Emirates (the),ARE,784
United Kingdom of Great Britain and Northern Ireland (the),GBR,826
United States Minor Outlying Islands (the),UMI,581
United States of America (the),USA,840
Uruguay,URY,858
Uzbekistan,UZB,860
Vanuatu,VUT,548
Venezuela (Bolivarian Republic of),VEN,862
Viet Nam,VNM,704
Virgin Islands (British),VGB,92
Virgin Islands (U.S.),VIR,850
Wallis and Futuna,WLF,876
Western Sahara,ESH,732
Yemen,YEM,887
Zambia,ZMB,894
Zimbabwe,ZWE,716
Åland Islands,ALA,248
