country,value,latitude,longitude,m/d/y,m-d-Y,d/m/y,d Month Y,seconds_epoch,month_name,month,year,Year,Day_name,Day Number,results
Central African Republic,21,25.944658,58.240347,02/23/21,01-01-2011,10/01/20,21 January 1987,1580824443,October,9,2021,2021,Tuesday,21,5.232
Libya,22,26.944658,59.240347,02/24/21,01-01-2012,11/01/20,22 January 1987,1580824444,October,10,2022,2022,Wednesday,22,6.232
Tunisia,23,27.944658,60.240347,02/25/21,01-01-2013,01/02/20,23 January 1987,1580824445,October,11,2023,2023,Thursday,23,7.232
Benin,24,28.944658,61.240347,02/26/21,01-01-2014,02/02/20,24 January 1987,1580824446,October,12,2024,2024,Friday,24,8.232
Chad,25,29.944658,62.240347,02/27/21,01-01-2015,02/02/20,25 January 1987,1580824447,September,1,2025,2025,Saturday,25,9.232
Equatorial Guinea,26,30.944658,63.240347,02/28/21,01-01-2016,03/02/20,26 January 1987,1580824448,September,2,2026,2026,Sunday,26,10.232
Niger,27,31.944658,64.240347,03/01/21,01-01-2017,04/02/20,27 January 1987,1580824449,December,3,2027,2027,Monday,27,11.232
Nigeria,28,32.944658,65.240347,03/02/21,01-01-2018,05/02/20,28 January 1987,1580824450,December,4,2028,2028,Tuesday,28,12.232
Sao Tome and Principe,29,33.944658,66.240347,03/03/21,01-01-2019,06/02/20,29 January 1987,1580824451,December,5,2029,2029,Wednesday,29,13.232
Togo,30,34.944658,67.240347,03/04/21,01-01-2020,06/02/20,30 January 1987,1580824452,December,6,2030,2030,Thursday,30,14.232
Egypt,31,35.944658,68.240347,03/05/21,01-01-2021,07/02/20,31 January 1987,1580824453,January,7,2031,2031,Friday,31,15.232
Oman,32,36.944658,69.240347,03/06/21,01-01-2022,08/02/21,1 February 1987,1580824454,January,8,2032,2032,Saturday,1,16.232
Somalia,33,37.944658,70.240347,03/07/21,01-01-2023,04/02/20,2 February 1987,1580824455,January,9,2033,2033,Sunday,2,17.232
Yemen,34,38.944658,71.240347,03/08/21,01-01-2024,01/03/20,3 February 1987,1580824456,January,10,2034,2034,Monday,3,18.232
Bahrain,35,39.944658,72.240347,03/09/21,01-01-2025,01/03/20,4 February 1987,1580824457,February,11,2035,2035,Tuesday,4,19.232
Kuwait,36,40.944658,73.240347,03/10/21,01-01-2026,02/03/20,5 February 1987,1580824458,April,12,2036,2036,Wednesday,5,20.232
Qatar,37,41.944658,74.240347,03/11/21,01-01-2027,03/03/20,6 February 1987,1580824459,April,1,2037,2037,Thursday,6,21.232
Saudi Arabia,38,42.944658,75.240347,03/12/21,01-01-2028,05/03/20,7 February 1987,1580824460,May,2,2038,2038,Friday,7,22.232
United Arab Emirates,39,43.944658,76.240347,03/13/21,01-01-2029,06/02/20,8 February 1987,1580824461,May,3,2039,2039,Saturday,8,23.232
Botswana,40,44.944658,77.240347,03/14/21,01-01-2030,06/04/20,9 February 1987,1580824462,June,4,2040,2040,Sunday,9,24.232
Burundi,41,45.944658,78.240347,03/15/21,01-01-2031,07/09/20,10 February 1987,1580824463,July,5,2041,2041,Monday,10,25.232
Rwanda,42,46.944658,79.240347,03/16/21,01-01-2032,09/09/20,11 February 1987,1580824464,August,6,2042,2042,Tuesday,11,26.232
Zambia,43,47.944658,80.240347,03/17/21,01-01-2033,09/09/20,12 February 1987,1580824465,September,7,2043,2043,Wednesday,12,27.232
Zimbabwe,44,48.944658,81.240347,03/18/21,01-01-2034,10/10/20,13 February 1987,1580824466,September,8,2044,2044,Thursday,13,3
Comoros,45,49.944658,82.240347,03/19/21,01-01-2035,10/10/20,14 February 1987,1580824467,November,9,2045,2045,Friday,14,4
Lesotho,46,50.944658,83.240347,03/20/21,01-01-2036,11/10/20,15 February 1987,1580824468,November,10,2046,2046,Saturday,15,5
Malawi,47,51.944658,84.240347,03/21/21,01-01-2037,11/10/20,16 February 1987,1580824469,November,11,2047,2047,Sunday,16,0.44
Mozambique,48,52.944658,85.240347,03/22/21,01-01-2038,09/10/20,17 February 1987,1580824470,November,12,2048,2048,Monday,17,0.98
South Africa,49,53.944658,86.240347,03/23/21,01-01-2039,01/10/20,18 February 1987,1580824471,November,1,2049,2049,Tuesday,18,3
Swaziland,50,54.944658,87.240347,03/24/21,01-01-2040,19/12/20,19 February 1987,1580824472,November,2,2050,2050,Wednesday,19,0
Angola,51,55.944658,88.240347,03/25/21,01-01-2041,01/12/20,20 February 1987,1580824473,May,3,2051,2051,Thursday,20,1
Congo,52,56.944658,89.240347,03/26/21,01-01-2042,01/02/20,21 February 1987,1580824474,July,4,2052,2052,Friday,21,2
"Congo, DRC",53,57.944658,90.240347,03/27/21,01-01-2043,03/04/20,22 February 1987,1580824475,June,5,2053,2053,Saturday,22,13.33
Gabon,54,58.944658,91.240347,03/28/21,01-01-2044,06/02/20,23 February 1987,1580824476,May,6,2054,2054,Sunday,23,1.2
Namibia,55,59.944658,92.240347,03/29/21,01-01-2045,12/12/20,24 February 1987,1580824477,July,7,2055,2055,Monday,24,22
Madagascar,56,60.944658,93.240347,03/30/21,01-01-2046,13/01/20,25 February 1987,1580824478,January,8,2056,2056,Tuesday,25,2
Seychelles,57,61.944658,94.240347,03/31/21,01-01-2047,01/01/21,26 February 1987,1580824479,January,9,2057,2057,Wednesday,26,0.87
Zanzibar,58,62.944658,95.240347,04/01/21,01-01-2048,01/01/22,27 February 1987,1580824480,January,10,2058,2058,Thursday,27,1.87
Ethiopia,59,63.944658,96.240347,04/02/21,01-01-2049,01/02/22,28 February 1987,1580824481,January,11,2059,2059,Friday,28,2.87
South Africa,60,64.944658,97.240347,04/03/21,01-01-2050,01/03/22,29 February 1987,1580824482,May,12,2060,2060,Saturday,29,3.87
Egypt,61,65.944658,98.240347,04/04/21,01-01-2051,01/04/22,30 February 1987,1580824483,May,1,2061,2061,Sunday,30,4.87
Egypt (United Arab Republic),62,66.944658,99.240347,04/05/21,01-01-2052,01/05/22,1 March 1987,1580824484,July,2,2062,2062,Monday,31,5.87
Yemen Arab Republic,63,67.944658,100.240347,04/06/21,01-01-2053,01/06/22,2 March 1987,1580824485,January,3,2063,2063,Tuesday,1,6.87
Yemen People's Republic,64,68.944658,101.240347,04/07/21,01-01-2054,16/02/20,3 March 1987,1580824486,January,4,2064,2064,Wednesday,2,7.87
Mali Federation,65,69.944658,102.240347,04/08/21,01-01-2055,16/02/21,4 March 1987,1580824487,October,5,2065,2065,Thursday,3,8.87
Cameroon,66,70.944658,103.240347,04/09/21,01-01-2056,16/02/22,5 March 1987,1580824488,October,6,2066,2066,Friday,4,9.87
Nigeria,67,71.944658,104.240347,04/10/21,01-01-2057,16/02/23,6 March 1987,1580824489,October,7,2067,2067,Saturday,5,10.87
Libya,68,72.944658,105.240347,04/11/21,01-01-2058,16/02/24,7 March 1987,1580824490,November,8,2068,2068,Sunday,6,11.87
Chad,69,73.944658,106.240347,04/12/21,01-01-2059,03/03/20,8 March 1987,1580824491,December,9,2069,2069,Monday,7,12.87
Morocco,70,74.944658,107.240347,04/13/21,01-01-2060,03/04/20,9 March 1987,1580824492,December,10,2070,2070,Tuesday,8,13.87
Morocco,71,75.944658,108.240347,04/14/21,01-01-2061,03/05/20,10 March 1987,1580824493,December,11,2071,2071,Wednesday,9,14.87
Mauritania,72,76.944658,109.240347,04/15/21,01-01-2062,03/06/20,11 March 1987,1580824494,December,12,2072,2072,Thursday,10,15.87
Israel,73,77.944658,110.240347,04/16/21,01-01-2063,03/07/20,12 March 1987,1580824495,September,1,2073,2073,Friday,11,16.87
Israel,74,78.944658,111.240347,04/17/21,01-01-2064,03/08/20,13 March 1987,1580824496,September,2,2074,2074,Saturday,12,17.87
Egypt,75,79.944658,112.240347,04/18/21,01-01-2065,03/09/20,14 March 1987,1580824497,September,3,2075,2075,Sunday,13,18.87
Egypt,76,80.944658,113.240347,04/19/21,01-01-2066,03/10/20,15 March 1987,1580824498,September,4,2076,2076,Monday,14,19.87
Uganda,77,2.255984,33.45444,04/20/21,01-01-2067,03/11/20,16 March 1987,1580824499,September,5,2077,2077,Tuesday,15,20.87
Tanzania,78,-10.630474,38.14498,04/21/21,01-01-2068,03/12/20,17 March 1987,1580824500,September,6,2078,2078,Wednesday,16,21.87
Kenya,79,1.5434,36.0674,04/22/21,01-01-2069,02/01/20,18 March 1987,1580824501,September,7,2079,2079,Thursday,17,22.87
Tanzania,80,-9.0987,36.3087384,04/23/21,01-01-2070,02/02/20,19 March 1987,1580824502,September,8,2080,2080,Friday,18,23.87
Saudi Arabia,81,21.7486,46.879887889,04/24/21,01-01-2071,02/03/20,20 March 1987,1580824503,March,9,2081,2081,Saturday,19,24.87
Yemen,82,-23.020438,117.9223454,04/25/21,01-01-2072,02/04/20,21 March 1987,1580824504,March,10,2082,2082,Sunday,20,25.87
Australia,83,-22.119543,133.944034,04/26/21,01-01-2073,02/05/20,22 March 1987,1580824505,March,11,2083,2083,Monday,21,26.87
Australia,84,-22,134.4949,04/27/21,01-01-2074,02/06/20,23 March 1987,1580824506,March,12,2084,2084,Tuesday,22,27.87
Australia,85,-34,137.9999,04/28/21,01-01-2075,02/07/20,24 March 1987,1580824507,April,1,2085,2085,Wednesday,23,28.87
Australia,86,-38.222,135.333,04/29/21,01-01-2076,02/08/20,25 March 1987,1580824508,April,2,2086,2086,Thursday,24,29.87
New Zealand,87,-38.2334,177.020202,04/30/21,01-01-2077,02/09/20,26 March 1987,1580824509,April,3,2087,2087,Friday,25,30.87
New Zealand,88,-38.164,175.07288,04/30/22,01-01-2020,02/09/20,27 March 1987,1580824510,May,4,2088,2088,Saturday,26,31.87
