lat,lng,region,place_name,month,day,year,value
36.06523,-119.01677,America,Los Angeles,12,21,2010,7549
41.66394,-83.55521,America,New York,11,19,1977,8098
36.61033,-88.31476,America,Chicago,1,25,1997,6346
8.35122,-62.64102,America,Caracas,12,01,2000,3060
53.53333,-7.35,Europe,Dublin,6,23,1999,2508
22.19303,88.18466,Asia,Kolkata,11,19,2018,7216
9.535,-13.68778,Africa,Conakry,7,28,1986,1610
47.83333,59.6,Asia,Aqtobe,6,14,1985,237
55.25,24.75,Europe,Vilnius,4,13,1997,1520
-33.59217,-70.6996,America,Santiago,3,25,1990,5842
30.76468,74.12286,Asia,Karachi,10,10,1993,8391
50.8,3.16667,Europe,Brussels,7,14,1984,7951
44.59445,11.04979,Europe,Rome,3,25,1972,890
-22.97056,-46.99583,America,Sao Paulo,3,18,2002,2327
47.90771,106.88324,Asia,Ulaanbaatar,7,09,1992,1458
53.6052,10.03988,Europe,Berlin,6,05,2017,176
19.64745,-102.04897,America,Mexico City,7,05,1988,6515
32.55531,76.12647,Asia,Kolkata,3,07,2011,6225
-22.97056,-46.99583,America,Sao Paulo,1,26,2019,4183
4.94273,15.87735,Africa,Bangui,5,13,2002,6451
34.95303,-120.43572,America,Los Angeles,1,19,2010,198
51.4781,57.3552,Asia,Yekaterinburg,11,18,2002,7354
33.35283,-111.78903,America,Phoenix,4,30,2010,4897
43.41949,77.0202,Asia,Almaty,4,27,1993,3397
10.7375,122.9666,Asia,Manila,9,15,2019,606
18.51957,73.85535,Asia,Kolkata,1,01,2006,8486
37.56667,140.11667,Asia,Tokyo,9,23,1973,1491
55.1904,30.2049,Europe,Minsk,2,14,1996,6667
6.9909,79.883,Asia,Colombo,8,29,2020,8336
-21.205,-41.88778,America,Sao Paulo,1,24,1984,7731
52.66277,-2.01111,Europe,London,5,30,1973,120
37.73222,115.70111,Asia,Shanghai,11,02,2014,8945
16.0567,103.65309,Asia,Bangkok,4,23,1981,1994
41.1053,-7.32097,Europe,Lisbon,9,23,2014,1141
40.67705,-73.89125,America,New York,11,11,1981,2524
13.56667,-15.6,Africa,Banjul,4,28,1992,979
49.5099,6.74549,Europe,Berlin,10,04,2007,327
32.54278,111.50861,Asia,Shanghai,7,02,2001,207
27.76056,-15.58602,Atlantic,Canary,3,22,1997,4672
37.95143,-91.77127,America,Chicago,9,14,1986,6322
8.88988,-79.62603,America,Panama,12,02,2018,9977
46.75451,33.34864,Europe,Kiev,9,10,2015,6305
33.42585,-6.00137,Africa,Casablanca,9,22,1991,435
54.8421,46.5813,Europe,Moscow,3,13,2013,2244
23.9028,89.11943,Asia,Dhaka,4,22,1974,5141
-10.90889,-37.03861,America,Maceio,5,16,1984,2867
41.20485,-8.33147,Europe,Lisbon,3,28,1990,8658
37.71715,-122.40433,America,Los Angeles,6,26,2008,8641
34.15429,3.50309,Africa,Algiers,4,02,1988,547
25.80565,68.49143,Asia,Karachi,4,06,2002,617
35.82756,137.95378,Asia,Tokyo,12,30,1982,9498
50.11861,-5.53715,Europe,London,8,22,1980,82
34.14251,-118.25508,America,Los Angeles,7,11,1977,6270
28.71271,77.656,Asia,Kolkata,6,04,1997,6069
10.12268,77.54372,Asia,Kolkata,1,28,1988,7644
22.75218,72.68533,Asia,Kolkata,3,07,1991,4988
49.68369,8.61839,Europe,Berlin,5,29,1991,3273
11.00599,77.5609,Asia,Kolkata,12,24,2017,7285
41.84364,-87.71255,America,Chicago,5,07,1978,5954
36.76775,2.95924,Africa,Algiers,8,27,1971,6710
